student_id,date,trait,score
S101,2026-01-28,logical,100.0
S101,2026-01-28,memory,33.33
S101,2026-01-28,logical,100.0

S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
S101,2026-01-29,logical,100.0
S101,2026-01-29,memory,33.33
